post_id,creator_id,creator_location,creator_connections,creator_topic_interests,creator_format_preferences,creator_creator_preferences,creator_expertise_levels,content,timestamp,likes,comments,shares,avg_time_spent,topics,content_format,content_length,location,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound,engagement_score,hours_since_post,content_length_category,sentiment_category,num_topics,num_creator_connections,top_topic
p006,u106,"(22.5726,88.3639)","['u107', 'u108']","{'music': 0.8, 'art': 0.6}","{'audio': 0.9, 'text': 0.5}","{'u107': 0.6, 'u108': 0.5}","{'music': 0.8, 'art': 0.4}","""New indie album drops today!""",2025-05-25 09:20:00,67.0,12.0,8.0,18.5,"['music', 'indie']",audio,320.0,"(22.5726,88.3639)",0.78,0.02,0.2,0.74,115.0,914.1836836113889,long,positive,2,2,music
p007,u107,"(13.0827,80.2707)","['u106', 'u109']","{'fitness': 0.9, 'health': 0.7}","{'video': 0.8, 'text': 0.6}","{'u106': 0.7, 'u109': 0.6}","{'fitness': 0.8, 'health': 0.6}","""Morning yoga routine complete!""",2025-05-25 06:45:00,45.0,8.0,5.0,14.2,"['fitness', 'yoga', 'health']",video,180.0,"(13.0827,80.2707)",0.85,0.01,0.14,0.81,76.0,916.7670169447223,medium,positive,3,2,fitness
p008,u108,"(18.5204,73.8567)","['u106', 'u110']","{'photography': 0.8, 'travel': 0.5}","{'image': 0.9, 'text': 0.4}","{'u106': 0.5, 'u110': 0.7}","{'photography': 0.9, 'travel': 0.3}","""Golden hour sunset captured perfectly""",2025-05-24 18:30:00,89.0,15.0,12.0,22.1,"['photography', 'sunset']",image,250.0,"(18.5204,73.8567)",0.72,0.03,0.25,0.69,155.0,929.0170169447223,medium,positive,2,2,photography
p009,u109,"(26.9124,75.7873)","['u107', 'u111']","{'food': 0.7, 'cooking': 0.9}","{'video': 0.8, 'image': 0.7}","{'u107': 0.6, 'u111': 0.8}","{'cooking': 0.8, 'food': 0.6}","""Homemade pizza from scratch tutorial""",2025-05-23 19:15:00,134.0,28.0,19.0,35.7,"['food', 'cooking', 'pizza']",video,420.0,"(26.9124,75.7873)",0.68,0.04,0.28,0.64,247.0,952.2670169447223,long,positive,3,2,food
p010,u110,"(17.3850,78.4867)","['u108', 'u112']","{'books': 0.9, 'literature': 0.8}","{'text': 0.9, 'image': 0.4}","{'u108': 0.4, 'u112': 0.9}","{'literature': 0.9, 'books': 0.8}","""Just finished reading '1984' - mind blown!""",2025-05-22 21:00:00,56.0,23.0,7.0,28.9,"['books', 'literature', 'review']",text,280.0,"(17.3850,78.4867)",0.79,0.06,0.15,0.71,123.0,974.5170169447223,medium,positive,3,2,books
p011,u111,"(23.0225,72.5714)","['u109', 'u113']","{'gaming': 0.9, 'tech': 0.6}","{'video': 0.9, 'text': 0.5}","{'u109': 0.7, 'u113': 0.8}","{'gaming': 0.8, 'tech': 0.4}","""Epic gaming session with new RPG!""",2025-05-25 16:30:00,78.0,19.0,11.0,25.4,"['gaming', 'RPG']",video,360.0,"(23.0225,72.5714)",0.83,0.02,0.15,0.79,149.0,907.0170169447223,long,positive,2,2,gaming
p012,u112,"(15.2993,74.1240)","['u110', 'u114']","{'gardening': 0.8, 'nature': 0.7}","{'image': 0.8, 'text': 0.7}","{'u110': 0.8, 'u114': 0.5}","{'gardening': 0.7, 'nature': 0.5}","""My tomatoes are finally ripening!""",2025-05-24 12:45:00,42.0,9.0,4.0,15.8,"['gardening', 'tomatoes', 'nature']",image,200.0,"(15.2993,74.1240)",0.76,0.02,0.22,0.73,72.0,934.7670169447223,medium,positive,3,2,gardening
p013,u113,"(21.1458,79.0882)","['u111', 'u115']","{'fashion': 0.8, 'style': 0.9}","{'image': 0.9, 'video': 0.6}","{'u111': 0.6, 'u115': 0.9}","{'fashion': 0.8, 'style': 0.9}","""Summer outfit inspiration board""",2025-05-23 14:20:00,95.0,17.0,13.0,20.3,"['fashion', 'summer', 'style']",image,150.0,"(21.1458,79.0882)",0.71,0.03,0.26,0.67,168.0,957.1836836113889,medium,positive,3,2,fashion
p014,u114,"(25.5941,91.8723)","['u112', 'u116']","{'science': 0.9, 'education': 0.7}","{'text': 0.8, 'video': 0.7}","{'u112': 0.7, 'u116': 0.6}","{'science': 0.9, 'education': 0.8}","""Fascinating discovery about black holes""",2025-05-22 11:30:00,73.0,31.0,18.0,42.1,"['science', 'space', 'blackholes']",text,350.0,"(25.5941,91.8723)",0.8,0.01,0.19,0.78,189.0,984.0170169447223,long,positive,3,2,science
p015,u115,"(11.0168,76.9558)","['u113', 'u117']","{'movies': 0.8, 'entertainment': 0.6}","{'video': 0.7, 'text': 0.8}","{'u113': 0.8, 'u117': 0.5}","{'movies': 0.7, 'entertainment': 0.5}","""Movie night recommendations for weekend""",2025-05-25 20:15:00,58.0,14.0,9.0,19.7,"['movies', 'weekend', 'entertainment']",text,190.0,"(11.0168,76.9558)",0.74,0.04,0.22,0.69,113.0,903.2670169447223,medium,positive,3,2,movies
